BoroCode,BoroName,NTACode,NTAName,NUMPOINTS
"4",Queens,QN17,Forest Hills,2
"4",Queens,QN18,Rego Park,0
"1",Manhattan,MN20,Murray Hill-Kips Bay,95
"4",Queens,QN28,Jackson Heights,3
"4",Queens,QN63,Woodside,7
"2",Bronx,BX14,East Concourse-Concourse Village,162
"4",Queens,QN35,Briarwood-Jamaica Hills,5
"4",Queens,QN60,Kew Gardens,0
"4",Queens,QN70,Astoria,0
"4",Queens,QN62,Queensboro Hill,0
"3",Brooklyn,BK76,Greenpoint,285
"2",Bronx,BX44,Williamsbridge-Olinville,131
"5",Staten Island,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,0
"1",Manhattan,MN09,Morningside Heights,104
"4",Queens,QN12,Hammels-Arverne-Edgemere,0
"4",Queens,QN15,Far Rockaway-Bayswater,7
"2",Bronx,BX01,Claremont-Bathgate,106
"1",Manhattan,MN35,Washington Heights North,125
"1",Manhattan,MN36,Washington Heights South,219
"2",Bronx,BX37,Van Nest-Morris Park-Westchester Square,132
"2",Bronx,BX59,Westchester-Unionport,93
"2",Bronx,BX34,Melrose South-Mott Haven North,121
"3",Brooklyn,BK30,Dyker Heights,74
"3",Brooklyn,BK31,Bay Ridge,218
"5",Staten Island,SI05,New Springville-Bloomfield-Travis,0
"5",Staten Island,SI25,Oakwood-Oakwood Beach,0
"5",Staten Island,SI54,Great Kills,0
"5",Staten Island,SI14,Grasmere-Arrochar-Ft. Wadsworth,0
"5",Staten Island,SI37,Stapleton-Rosebank,0
"4",Queens,QN43,Bellerose,0
"4",Queens,QN44,Glen Oaks-Floral Park-New Hyde Park,0
"4",Queens,QN01,South Jamaica,0
"1",Manhattan,MN19,Turtle Bay-East Midtown,148
"1",Manhattan,MN31,Lenox Hill-Roosevelt Island,81
"4",Queens,QN31,Hunters Point-Sunnyside-West Maspeth,1
"4",Queens,QN98,Airport,0
"4",Queens,QN53,Woodhaven,4
"4",Queens,QN49,Whitestone,0
"3",Brooklyn,BK61,Crown Heights North,257
"3",Brooklyn,BK64,Prospect Heights,53
"4",Queens,QN56,Ozone Park,0
"4",Queens,QN57,Lindenwood-Howard Beach,0
"3",Brooklyn,BK99,park-cemetery-etc-Brooklyn,14
"4",Queens,QN54,Richmond Hill,5
"4",Queens,QN61,Jamaica,1
"4",Queens,QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1
"4",Queens,QN99,park-cemetery-etc-Queens,1
"2",Bronx,BX10,Pelham Bay-Country Club-City Island,74
"2",Bronx,BX99,park-cemetery-etc-Bronx,2
"2",Bronx,BX27,Hunts Point,152
"3",Brooklyn,BK83,Cypress Hills-City Line,175
"2",Bronx,BX39,Mott Haven-Port Morris,209
"2",Bronx,BX63,West Concourse,152
"4",Queens,QN29,Elmhurst,0
"4",Queens,QN50,Elmhurst-Maspeth,0
"5",Staten Island,SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,0
"5",Staten Island,SI36,Old Town-Dongan Hills-South Beach,0
"5",Staten Island,SI99,park-cemetery-etc-Staten Island,0
"4",Queens,QN03,Springfield Gardens South-Brookville,0
"4",Queens,QN76,Baisley Park,3
"4",Queens,QN02,Springfield Gardens North,2
"4",Queens,QN66,Laurelton,1
"4",Queens,QN06,Jamaica Estates-Holliswood,0
"4",Queens,QN38,Pomonok-Flushing Heights-Hillcrest,0
"1",Manhattan,MN24,SoHo-TriBeCa-Civic Center-Little Italy,304
"1",Manhattan,MN27,Chinatown,200
"2",Bronx,BX06,Belmont,89
"2",Bronx,BX17,East Tremont,142
"3",Brooklyn,BK79,Ocean Hill,207
"3",Brooklyn,BK81,Brownsville,233
"3",Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,291
"3",Brooklyn,BK68,Fort Greene,79
"1",Manhattan,MN03,Central Harlem North-Polo Grounds,188
"1",Manhattan,MN06,Manhattanville,88
"3",Brooklyn,BK60,Prospect Lefferts Gardens-Wingate,100
"3",Brooklyn,BK63,Crown Heights South,87
"3",Brooklyn,BK82,East New York,536
"3",Brooklyn,BK93,Starrett City,8
"3",Brooklyn,BK73,North Side-South Side,321
"3",Brooklyn,BK90,East Williamsburg,349
"1",Manhattan,MN21,Gramercy,50
"1",Manhattan,MN50,Stuyvesant Town-Cooper Village,2
